"Project","Card","Result","Form","Action","AssetId","OfficialName","Backdrop"
"ArtoriaCaster","summer_dance","official mapped artwork","berserker","attack","9306530","Summer Power Pom-Poms","assets\reference\ce\art\9306530.png"
"ArtoriaCaster","summer_double_slash","official mapped artwork","berserker","attack","9408880","Dual Burning","assets\reference\ce\art\9408880.png"
"ArtoriaCaster","summer_escapade","official mapped artwork","berserker","cast","9305700","Summer Adventure Memories","assets\reference\ce\art\9305700.png"
"ArtoriaCaster","summer_faerie","official mapped artwork","berserker","cast","9808870","Faerie Britain's Summer Break","assets\reference\ce\art\9808870.png"
"ArtoriaCaster","summer_hydromancy","official mapped artwork","berserker","cast","9405820","Water Gun Battle","assets\reference\ce\art\9405820.png"
"ArtoriaCaster","summer_onslaught","official mapped artwork","berserker","attack","9408750","Summer Inferno","assets\reference\ce\art\9408750.png"
"ArtoriaCaster","summer_outburst","official mapped artwork","berserker","attack","9408750","Summer Inferno","assets\reference\ce\art\9408750.png"
"ArtoriaCaster","summer_rivalry","official mapped artwork","berserker","idle","9402600","Chaldea Beach Volleyball","assets\reference\ce\art\9402600.png"
"ArtoriaCaster","summer_shark","official mapped artwork","berserker","attack","9310470","A Wonderful (Shark) Gift","assets\reference\ce\art\9310470.png"
"ArtoriaCaster","summoned_swords","official mapped artwork","caster","attack","9806000","Sword from Someone's Treasury","assets\reference\ce\art\9806000.png"
"ArtoriaCaster","sword_and_song","official mapped artwork","caster","attack","9402790","Starry Nights","assets\reference\ce\art\9402790.png"
"ArtoriaCaster","sword_instinct","official mapped artwork","caster","idle","9308780","Epitaph of the Star Sword","assets\reference\ce\art\9308780.png"
"ArtoriaCaster","sword_of_selection","official mapped artwork","caster","cast","9408540","The One Who Stands at the Summit of Sabers","assets\reference\ce\art\9408540.png"
"ArtoriaCaster","tears_behind_the_smile","official mapped artwork","caster","cast","9306510","Enchromia's Silent Tears","assets\reference\ce\art\9306510.png"
"ArtoriaCaster","territory_creation","official mapped artwork","caster","idle","9307920","Summer Castle","assets\reference\ce\art\9307920.png"
"ArtoriaCaster","travelers_cloak","official mapped artwork","caster","cast","9310590","Heroic Spirit Stellar Journey: Altria Caster","assets\reference\ce\art\9310590.png"
"ArtoriaCaster","travelers_prayer","official mapped artwork","caster","cast","9302990","Travel Portrait: Altria Pendragon","assets\reference\ce\art\9302990.png"
"ArtoriaCaster","two_faces_of_summer","official mapped artwork","berserker","idle","9808870","Faerie Britain's Summer Break","assets\reference\ce\art\9808870.png"
"ArtoriaCaster","unique_magecraft","official mapped artwork","caster","idle","9407670","Dabbling in Magecraft","assets\reference\ce\art\9407670.png"
"ArtoriaCaster","white_hare_trick","official mapped artwork","berserker","cast","9300530","Wonderland","assets\reference\ce\art\9300530.png"
"GilgameshArcher","anticipated_shot","official mapped artwork","base","attack","9300050","Memories of the Dragon","assets\reference\ce\art\9300050.png"
"GilgameshArcher","appraisers_gaze","official mapped artwork","base","cast","9403720","Cunning Foresight","assets\reference\ce\art\9403720.png"
"GilgameshArcher","arts","official command card","","","COMMAND","FGO Command Card",""
"GilgameshArcher","caladbolg","official mapped artwork","base","attack","9305280","Sword of Gods","assets\reference\ce\art\9305280.png"
"GilgameshArcher","caladbolg_the_original","official mapped artwork","base","attack","9302880","The Dragon and the Dragon Swordsman","assets\reference\ce\art\9302880.png"
"GilgameshArcher","caster_of_cu_vajra","official mapped artwork","base","attack","9408620","Dance of the Thunder God","assets\reference\ce\art\9408620.png"
"GilgameshArcher","chains_of_heaven_enkidu","official mapped artwork","base","cast","9309540","Heroic Spirit Celebratory Attire: Enkidu","assets\reference\ce\art\9309540.png"
"GilgameshArcher","close_the_gate","official mapped artwork","base","cast","9300210","Key of the King's Law","assets\reference\ce\art\9300210.png"
"GilgameshArcher","collectors_absorption","official mapped artwork","base","cast","9404790","Mystery Treasure","assets\reference\ce\art\9404790.png"
"GilgameshArcher","collectors_greed","official mapped artwork","base","cast","9407690","Greedy Dice","assets\reference\ce\art\9407690.png"
"GilgameshArcher","dainsleif","official mapped artwork","base","attack","9301210","Bone Sword (Nameless)","assets\reference\ce\art\9301210.png"
"GilgameshArcher","defend","official mapped artwork","base","cast","9300320","Golden Helm","assets\reference\ce\art\9300320.png"
"GilgameshArcher","discarded_prototype","official mapped artwork","base","attack","9806000","Sword from Someone's Treasury","assets\reference\ce\art\9806000.png"
"GilgameshArcher","durandal","official mapped artwork","base","attack","9406620","Great Sword of Distinction","assets\reference\ce\art\9406620.png"
"GilgameshArcher","enuma_elish_unleashed","official mapped artwork","base","attack","9303540","Enuma Dingir","assets\reference\ce\art\9303540.png"
"GilgameshArcher","gate_of_babylon","official mapped artwork","base","cast","9301250","Unused Royal Authority","assets\reference\ce\art\9301250.png"
"GilgameshArcher","golden_arrogance","official mapped artwork","base","idle","9300220","Golden Glass","assets\reference\ce\art\9300220.png"
"GilgameshArcher","golden_rule","official mapped artwork","base","idle","9403410","Gilgamesh in NY","assets\reference\ce\art\9403410.png"
"GilgameshArcher","gram_origin_of_all_swords","official mapped artwork","base","attack","9301030","White Dragon","assets\reference\ce\art\9301030.png"
"GilgameshArcher","harpe","official mapped artwork","base","attack","9302740","Inferno Sword","assets\reference\ce\art\9302740.png"
"GilgameshArcher","houtengeki","official mapped artwork","base","attack","9302900","The Singing Spear, the Shouting Spear","assets\reference\ce\art\9302900.png"
"GilgameshArcher","impossible_bribe","official mapped artwork","base","attack","9402940","Golden and Sun, the Gamblers","assets\reference\ce\art\9402940.png"
"GilgameshArcher","kings_arsenal","official mapped artwork","base","cast","9301250","Unused Royal Authority","assets\reference\ce\art\9301250.png"
"GilgameshArcher","kings_verdict","official mapped artwork","base","attack","9300020","Relic of the King","assets\reference\ce\art\9300020.png"
"GilgameshArcher","kit_charisma","official mapped artwork","base","cast","9301920","Formal Portrait: Gilgamesh","assets\reference\ce\art\9301920.png"
"GilgameshArcher","kit_collector","official mapped artwork","base","cast","9402190","Collection of Mysterious Masks","assets\reference\ce\art\9402190.png"
"GilgameshArcher","kit_divinity","official mapped artwork","base","idle","9301060","Manifestation of the Golden Rule","assets\reference\ce\art\9301060.png"
"GilgameshArcher","kit_independent_action","official mapped artwork","base","idle","9407700","Crystal of Wisdom","assets\reference\ce\art\9407700.png"
"GilgameshArcher","merodach","official mapped artwork","base","attack","9300940","Indestructible Blade","assets\reference\ce\art\9300940.png"
"GilgameshArcher","mongrel","official mapped artwork","base","cast","9301150","Spiritron Portrait: Gilgamesh","assets\reference\ce\art\9301150.png"
"GilgameshArcher","mongrels_execution","official mapped artwork","base","attack","9306190","Golden Shackles","assets\reference\ce\art\9306190.png"
"GilgameshArcher","nameless_blade","official mapped artwork","base","attack","9301170","Spiritron Portrait: Nameless","assets\reference\ce\art\9301170.png"
"GilgameshArcher","np_enuma_elish","official mapped artwork","base","attack","9309270","Heroic Spirit Stellar Journey: Gilgamesh (Child)","assets\reference\ce\art\9309270.png"
"GilgameshArcher","open_treasury_assault","official mapped artwork","base","attack","9404730","Golden Field","assets\reference\ce\art\9404730.png"
"GilgameshArcher","opening_of_the_treasury","official mapped artwork","base","cast","9404730","Golden Field","assets\reference\ce\art\9404730.png"
"GilgameshArcher","portal_volley","official mapped artwork","base","attack","9404100","From Uruk","assets\reference\ce\art\9404100.png"
"GilgameshArcher","quick","official command card","","","COMMAND","FGO Command Card",""
"GilgameshArcher","rain_of_a_thousand_blades","official mapped artwork","base","attack","9803100","Treasure Chocolate","assets\reference\ce\art\9803100.png"
"GilgameshArcher","rain_of_blades","official mapped artwork","base","attack","9300280","Door to Babylon","assets\reference\ce\art\9300280.png"
"GilgameshArcher","rain_of_treasures","official mapped artwork","base","attack","9805940","Golden Gold Set","assets\reference\ce\art\9805940.png"
"GilgameshArcher","recital_of_creation","official mapped artwork","base","idle","9401960","Joint Recital","assets\reference\ce\art\9401960.png"
"GilgameshArcher","royal_investment","official mapped artwork","base","cast","9300240","Das Rheingold","assets\reference\ce\art\9300240.png"
"GilgameshArcher","scornful_shot","official mapped artwork","base","attack","9402250","Arrogance of a Victor","assets\reference\ce\art\9402250.png"
"GilgameshArcher","strike","official command card","","","COMMAND","FGO Command Card",""
"GilgameshArcher","strike_of_ea","official mapped artwork","base","attack","9306410","Sword of Kings and Heroes","assets\reference\ce\art\9306410.png"
"GilgameshArcher","thorough_appraisal","official mapped artwork","base","cast","9403020","Light of Wisdom","assets\reference\ce\art\9403020.png"
"GilgameshArcher","throne_of_the_onlooker","official mapped artwork","base","idle","9407990","Crown & August","assets\reference\ce\art\9407990.png"
"GilgameshArcher","total_barrage","official mapped artwork","base","attack","9402420","Conquering the Great Sea of Stars","assets\reference\ce\art\9402420.png"
"GilgameshArcher","treasure_count","official mapped artwork","base","cast","9408300","The Treasure","assets\reference\ce\art\9408300.png"
"GilgameshArcher","treasure_cuirass","official mapped artwork","base","cast","9300320","Golden Helm","assets\reference\ce\art\9300320.png"
"GilgameshArcher","treasure_guards_the_king","official mapped artwork","base","cast","9406760","Treasury of the Guardian Serpent","assets\reference\ce\art\9406760.png"
"GilgameshArcher","turned_key","official mapped artwork","base","cast","9302540","Silver Key Rosary","assets\reference\ce\art\9302540.png"
"GilgameshArcher","twin_lances","official mapped artwork","base","attack","9308070","Pair of White Swords","assets\reference\ce\art\9308070.png"
"GilgameshArcher","tyrants_armor","official mapped artwork","base","cast","9809220","Black Armor Visor","assets\reference\ce\art\9809220.png"
"GilgameshArcher","vajra","official mapped artwork","base","attack","9300610","Hand of Lightning","assets\reference\ce\art\9300610.png"
"GilgameshArcher","vimana_assault","official mapped artwork","base","attack","9402760","Golden Wings","assets\reference\ce\art\9402760.png"
"GilgameshArcher","wall_of_spears","official mapped artwork","base","cast","9305590","Sacred Lance Longinus","assets\reference\ce\art\9305590.png"
"GilgameshArcher","walls_of_uruk","official mapped artwork","base","cast","9304380","Absolute Demonic Front: Babylonia","assets\reference\ce\art\9304380.png"
"MashShielder","absolute_wall","official mapped artwork","base","cast","9405690","Guardians of the Garden","assets\reference\ce\art\9405690.png"
"MashShielder","amalgam_goad","official mapped artwork","ortinax","cast","9401940","Howl at the Moon","assets\reference\ce\art\9401940.png"
"MashShielder","arts_mash","official command card","","","COMMAND","FGO Command Card",""
"MashShielder","behind_me_senpai","official mapped artwork","base","cast","9304380","Absolute Demonic Front: Babylonia","assets\reference\ce\art\9304380.png"
"MashShielder","black_barrel_burst","official mapped artwork","ortinax","attack","9301080","Extol the Gun","assets\reference\ce\art\9301080.png"
"MashShielder","black_barrel_full_burst","official mapped artwork","ortinax","attack","9303700","The Legendary Shot","assets\reference\ce\art\9303700.png"
"MashShielder","black_barrel_unleashed","official mapped artwork","ortinax","attack","9303700","The Legendary Shot","assets\reference\ce\art\9303700.png"
"MashShielder","black_keys","official mapped artwork","base","cast","9400130","The Azure Black Keys","assets\reference\ce\art\9400130.png"
"MashShielder","bunker_bolt","official mapped artwork","ortinax","attack","9406750","Gunpowder Cache","assets\reference\ce\art\9406750.png"
"MashShielder","bunker_protocol","official mapped artwork","ortinax","cast","9403180","An Afternoon at the Fortress","assets\reference\ce\art\9403180.png"
"MashShielder","buster_mash","official command card","","","COMMAND","FGO Command Card",""
"MashShielder","camelot_ram","official mapped artwork","paladin","attack","9402910","The Star of Camelot","assets\reference\ce\art\9402910.png"
"MashShielder","chaldea_library","official mapped artwork","base","idle","9304730","Chaldea Summer Reading List","assets\reference\ce\art\9304730.png"
"MashShielder","chaldea_manual","official mapped artwork","base","cast","9401350","The Scholars of Chaldea","assets\reference\ce\art\9401350.png"
"MashShielder","chaldea_sandwich","official mapped artwork","base","cast","9401970","Chaldea Lunchtime","assets\reference\ce\art\9401970.png"
"MashShielder","chalk_wall","official mapped artwork","base","cast","9300070","Castle of Snow","assets\reference\ce\art\9300070.png"
"MashShielder","combat_analysis","official mapped artwork","base","idle","9402950","Chaldea Special Investigation Unit","assets\reference\ce\art\9402950.png"
"MashShielder","combat_breathing","official mapped artwork","base","cast","9400090","Concentration","assets\reference\ce\art\9400090.png"
"MashShielder","conceptual_ammo","official mapped artwork","ortinax","idle","9805250","Silver Bullet","assets\reference\ce\art\9805250.png"
"MashShielder","conceptual_round","official mapped artwork","ortinax","attack","9401680","Origin Bullet","assets\reference\ce\art\9401680.png"
"MashShielder","covering_fire","official mapped artwork","ortinax","attack","9401690","Covering Fire","assets\reference\ce\art\9401690.png"
"MashShielder","crush","official mapped artwork","base","attack","9301470","Seven-Headed Warhammer Cita","assets\reference\ce\art\9301470.png"
"MashShielder","cylinder_discharge","official mapped artwork","ortinax","attack","9401900","Paradox Ace Killer","assets\reference\ce\art\9401900.png"
"MashShielder","cylinder_seal","official mapped artwork","ortinax","cast","9305140","Sightseeing Portrait: Mash Kyrielight","assets\reference\ce\art\9305140.png"
"MashShielder","cylinder_vent","official mapped artwork","ortinax","cast","9303270","Travel Portrait: Mash Kyrielight","assets\reference\ce\art\9303270.png"
"MashShielder","dawn_strike","official mapped artwork","base","attack","9408270","The Glow of Dawn","assets\reference\ce\art\9408270.png"
"MashShielder","defend_mash","official mapped artwork","base","cast","9400210","Iron-Willed Training","assets\reference\ce\art\9400210.png"
"MashShielder","defensive_formation","official mapped artwork","base","cast","9403060","Barrier","assets\reference\ce\art\9403060.png"
"MashShielder","defensive_sweep","official mapped artwork","base","attack","9302520","Guardian Gigantic","assets\reference\ce\art\9302520.png"
"MashShielder","demi_servant","official mapped artwork","base","idle","9400970","Heroic Portrait: Mash Kyrielight","assets\reference\ce\art\9400970.png"
"MashShielder","distant_utopia_castle","official mapped artwork","paladin","idle","9808060","Camelot Story","assets\reference\ce\art\9808060.png"
"MashShielder","exp_ember","official mapped artwork","base","cast","9807660","CE EXP Card: The Fierce and the Invincible","assets\reference\ce\art\9807660.png"
"MashShielder","farewell_snowfield","official mapped artwork","base","cast","9405170","To the Beyond, Bereft the Snowy Blossom","assets\reference\ce\art\9405170.png"
"MashShielder","firm_stance","official mapped artwork","base","cast","9401140","Threefold Barrier","assets\reference\ce\art\9401140.png"
"MashShielder","form_drill","official mapped artwork","base","cast","9304720","Chaldea VR (Controllers Included)","assets\reference\ce\art\9304720.png"
"MashShielder","fou_beast_iv","official mapped artwork","base","attack","9307210","U-Fou Catcher","assets\reference\ce\art\9307210.png"
"MashShielder","fous_miracle","official mapped artwork","base","cast","9805630","Puppet Fou","assets\reference\ce\art\9805630.png"
"MashShielder","frontal_charge","official mapped artwork","base","attack","9301460","First Order","assets\reference\ce\art\9301460.png"
"MashShielder","galahads_legacy","official mapped artwork","paladin","cast","9406160","Inheritance of a Long-Cherished Dream","assets\reference\ce\art\9406160.png"
"MashShielder","golden_apple","official mapped artwork","base","cast","9300340","Golden Apple","assets\reference\ce\art\9300340.png"
"MashShielder","guard_step","official mapped artwork","base","cast","9403710","Dance with the Round Table","assets\reference\ce\art\9403710.png"
"MashShielder","homunculus_heart","official mapped artwork","base","idle","9406950","Homunculus Cradle","assets\reference\ce\art\9406950.png"
"MashShielder","insufficient_qp","official mapped artwork","base","cast","9400780","Mona Lisa","assets\reference\ce\art\9400780.png"
"MashShielder","iron_will","official mapped artwork","base","idle","9400720","Awakened Will","assets\reference\ce\art\9400720.png"
"MashShielder","knights_fist","official mapped artwork","base","attack","9301410","Holy Knuckle","assets\reference\ce\art\9301410.png"
"MashShielder","knights_judgment","official mapped artwork","base","attack","9400640","Knight's Dignity","assets\reference\ce\art\9400640.png"
"MashShielder","knights_vow","official mapped artwork","base","attack","9300980","Knight's Oath","assets\reference\ce\art\9300980.png"
"MashShielder","last_order","official mapped artwork","base","cast","9404500","Mission Start","assets\reference\ce\art\9404500.png"
"MashShielder","lord_camelot","official mapped artwork","paladin","attack","9805290","World's End Castle","assets\reference\ce\art\9805290.png"
"MashShielder","lord_camelot_charge","official mapped artwork","paladin","attack","9402910","The Star of Camelot","assets\reference\ce\art\9402910.png"
"MashShielder","lord_camelot_unleashed","official mapped artwork","paladin","attack","9805290","World's End Castle","assets\reference\ce\art\9805290.png"
"MashShielder","lord_chaldeas","official mapped artwork","base","cast","9401360","Maiden Leading Chaldea","assets\reference\ce\art\9401360.png"
"MashShielder","lord_chaldeas_unleashed","official mapped artwork","base","attack","9401360","Maiden Leading Chaldea","assets\reference\ce\art\9401360.png"
"MashShielder","mapo_tofu","official mapped artwork","base","cast","9401610","Extremely Spicy Mapo Tofu","assets\reference\ce\art\9401610.png"
"MashShielder","mashs_glasses","official mapped artwork","base","cast","9806930","Glasses","assets\reference\ce\art\9806930.png"
"MashShielder","mobile_wall","official mapped artwork","base","cast","9800700","Chaldea Standard","assets\reference\ce\art\9800700.png"
"MashShielder","mold_camelot","official mapped artwork","paladin","cast","9301060","Manifestation of the Golden Rule","assets\reference\ce\art\9301060.png"
"MashShielder","multipurpose_shield","official mapped artwork","base","cast","9301810","Learning with Manga! FGO","assets\reference\ce\art\9301810.png"
"MashShielder","ortinax_maintenance","official mapped artwork","ortinax","cast","9809220","Black Armor Visor","assets\reference\ce\art\9809220.png"
"MashShielder","ortinax_servos","official mapped artwork","ortinax","idle","9400920","Motored Cuirassier","assets\reference\ce\art\9400920.png"
"MashShielder","paladin_assault","official mapped artwork","paladin","attack","9808480","As a Knight","assets\reference\ce\art\9808480.png"
"MashShielder","paladin_vocation","official mapped artwork","paladin","cast","9808240","White Oath","assets\reference\ce\art\9808240.png"
"MashShielder","palingenesis","official mapped artwork","base","cast","ITEM:7999","FGO item 7999","assets\reference\ce\icons\7999.png"
"MashShielder","paradox_cylinder","official mapped artwork","ortinax","cast","9301000","True Difference Engine","assets\reference\ce\art\9301000.png"
"MashShielder","pioneer_of_the_stars","official mapped artwork","base","idle","9402420","Conquering the Great Sea of Stars","assets\reference\ce\art\9402420.png"
"MashShielder","prayer_to_galahad","official mapped artwork","paladin","cast","9406190","With Lighted Prayer in Our Hearts","assets\reference\ce\art\9406190.png"
"MashShielder","protect_senpai","official mapped artwork","base","cast","9304380","Absolute Demonic Front: Babylonia","assets\reference\ce\art\9304380.png"
"MashShielder","provoke","official mapped artwork","base","cast","9401980","Dangerous Beast","assets\reference\ce\art\9401980.png"
"MashShielder","quick_mash","official command card","","","COMMAND","FGO Command Card",""
"MashShielder","regroup","official mapped artwork","base","cast","9402070","A Moment of Tranquility","assets\reference\ce\art\9402070.png"
"MashShielder","reinforcement_order","official mapped artwork","base","cast","9807470","Chaldea New Order","assets\reference\ce\art\9807470.png"
"MashShielder","reprisal","official mapped artwork","base","attack","9307130","Eternal Spirit of Vengeance","assets\reference\ce\art\9307130.png"
"MashShielder","rhongomyniad_replica","official mapped artwork","paladin","attack","9301550","The Tower of Avalon","assets\reference\ce\art\9301550.png"
"MashShielder","round_table_punishment","official mapped artwork","paladin","attack","9806730","Our Round Table","assets\reference\ce\art\9806730.png"
"MashShielder","senpai_promise","official mapped artwork","base","idle","9305540","Hope, With You","assets\reference\ce\art\9305540.png"
"MashShielder","sharpened_edge","official mapped artwork","base","attack","9302860","Divine Iron Shield","assets\reference\ce\art\9302860.png"
"MashShielder","shield_bash","official mapped artwork","base","attack","9309130","Heroic Spirit Stellar Journey: Mash Kyrielight","assets\reference\ce\art\9309130.png"
"MashShielder","shield_ram","official mapped artwork","base","attack","9302890","Destined To Clash","assets\reference\ce\art\9302890.png"
"MashShielder","shields_up","official mapped artwork","base","cast","9307120","Pure-Hearted Shield","assets\reference\ce\art\9307120.png"
"MashShielder","siege_lance","official mapped artwork","base","attack","9305590","Sacred Lance Longinus","assets\reference\ce\art\9305590.png"
"MashShielder","skirmish","official mapped artwork","base","attack","9303550","The Noble Sword and Shield","assets\reference\ce\art\9303550.png"
"MashShielder","snowflake_wall","official mapped artwork","base","cast","9405500","Winter Crystal","assets\reference\ce\art\9405500.png"
"MashShielder","strike_mash","official mapped artwork","base","attack","9400470","With One Strike","assets\reference\ce\art\9400470.png"
