"Project","Kind","Asset","OfficialSource","Url"
"MordredSaber","Power","red_lightning_channel_power","Mana Burst A / Knight of Red Lightning A+","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"MordredSaber","Power","red_lightning_spark_power","Mana Burst A / Knight of Red Lightning A+","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"MordredSaber","Power","saberface_power","Mordred ascension face 3","https://static.atlasacademy.io/JP/Faces/f_1009002.png"
"MordredSaber","Power","secret_revealed_power","Secret of Pedigree EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00400.png"
"MordredSaber","Power","the_most_radiant_sword_power","Clarent Blood Arthur command card","https://static.atlasacademy.io/JP/Servants/Commands/100900/card_servant_np.png"
"MordredSaber","Relic","banner_of_camlann","Who Am I? bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93005100.png"
"MordredSaber","Relic","clarent_overloaded_with_hatred","Clarent Blood Arthur command card","https://static.atlasacademy.io/JP/Servants/Commands/100900/card_servant_np.png"
"MordredSaber","Relic","clarent_the_stolen_sword","Clarent Blood Arthur command card","https://static.atlasacademy.io/JP/Servants/Commands/100900/card_servant_np.png"
"MordredSaber","Relic","grey_cat_of_trifas","Strawberry Thunder Crunch Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98016000.png"
"MordredSaber","Relic","holy_grail_of_selection","Who Am I? bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93005100.png"
"MordredSaber","Relic","kairis_cigarettes","Cigarette Lion B+","https://static.atlasacademy.io/JP/SkillIcons/skill_00308.png"
"MordredSaber","Relic","magic_resistance_b_charm","Secret of Pedigree EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00400.png"
"MordredSaber","Relic","oath_of_the_knight_of_treachery","Who Am I? bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93005100.png"
"MordredSaber","Relic","red_bike_of_trifas","Mordred ascension face 3","https://static.atlasacademy.io/JP/Faces/f_1009002.png"
"MordredSaber","Relic","red_glasses_of_saber","Mordred ascension face 3","https://static.atlasacademy.io/JP/Faces/f_1009002.png"
"MordredSaber","Relic","summoning_seal_saber_of_red","Mordred ascension face 3","https://static.atlasacademy.io/JP/Faces/f_1009002.png"
"MordredSaber","Relic","the_empty_seat_of_the_round_table","Who Am I? bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93005100.png"
"OberonPretender","Power","court_of_insect_fae_power","Pavane Pour Une Infante Defunte bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93061700.png"
"OberonPretender","Power","debt_power","Void's Dust Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98081300.png"
"OberonPretender","Power","ending_of_dreams_power","Ending of Dreams EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"OberonPretender","Power","evening_shroud_power","Evening Shroud EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00302.png"
"OberonPretender","Power","happy_ending_plan_power","Pavane Pour Une Infante Defunte bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93061700.png"
"OberonPretender","Power","insects_vigil_power","Evening Shroud EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00302.png"
"OberonPretender","Power","insomnia_power","Evening Shroud EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00302.png"
"OberonPretender","Power","interest_in_my_favor_power","Void's Dust Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98081300.png"
"OberonPretender","Power","item_construction_power","Morning Lark EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00601.png"
"OberonPretender","Power","luck_ex_power","Morning Lark EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00601.png"
"OberonPretender","Power","night_reading_power","Oberon ascension face 1","https://static.atlasacademy.io/JP/Faces/f_28001000.png"
"OberonPretender","Power","no_draw_next_turn_power","Ending of Dreams EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"OberonPretender","Power","nocturnal_euphoria_power","Evening Shroud EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00302.png"
"OberonPretender","Power","sleep_power","Ending of Dreams EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"OberonPretender","Power","storybook_king_power","Oberon ascension face 1","https://static.atlasacademy.io/JP/Faces/f_28001000.png"
"OberonPretender","Power","threat_to_humanity_power","Oberon final ascension face","https://static.atlasacademy.io/JP/Faces/f_28001003.png"
"OberonPretender","Power","ult_manifested_power","Rye Rhyme Goodfellow command card","https://static.atlasacademy.io/JP/Servants/Commands/2800100/card_servant_np.png"
"OberonPretender","Power","vespers_of_the_end_power","Evening Shroud EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00302.png"
"OberonPretender","Power","vortigern_power","Oberon final ascension face","https://static.atlasacademy.io/JP/Faces/f_28001003.png"
"OberonPretender","Power","wings_of_reverie_power","Oberon ascension face 1","https://static.atlasacademy.io/JP/Faces/f_28001000.png"
"OberonPretender","Power","winter_prince_power","Oberon ascension face 2","https://static.atlasacademy.io/JP/Faces/f_28001001.png"
"OberonPretender","Relic","book_of_dreams_end","Pavane Pour Une Infante Defunte bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93061700.png"
"OberonPretender","Relic","chronicle_of_avalon","Pavane Pour Une Infante Defunte bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93061700.png"
"OberonPretender","Relic","clock_of_dawn","Morning Lark EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00601.png"
"OberonPretender","Relic","dream_contract","Pavane Pour Une Infante Defunte bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93061700.png"
"OberonPretender","Relic","feather_of_the_contract","Oberon ascension face 1","https://static.atlasacademy.io/JP/Faces/f_28001000.png"
"OberonPretender","Relic","forget_me_not_of_autumn_wood","Oberon ascension face 1","https://static.atlasacademy.io/JP/Faces/f_28001000.png"
"OberonPretender","Relic","hawk_moth","Oberon ascension face 1","https://static.atlasacademy.io/JP/Faces/f_28001000.png"
"OberonPretender","Relic","holy_grail_of_the_fae","Rye Rhyme Goodfellow command card","https://static.atlasacademy.io/JP/Servants/Commands/2800100/card_servant_np.png"
"OberonPretender","Relic","midsummer_nights_dream_ex","Pavane Pour Une Infante Defunte bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93061700.png"
"OberonPretender","Relic","princes_flower_crown","Oberon ascension face 2","https://static.atlasacademy.io/JP/Faces/f_28001001.png"
"OberonPretender","Relic","usurers_purse","Void's Dust Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98081300.png"
"OkitaSaber","Power","aliento_power","Mind's Eye (Fake) A","https://static.atlasacademy.io/JP/SkillIcons/skill_00402.png"
"OkitaSaber","Power","attacks_this_turn_power","Weak Constitution A / Zettou A","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"OkitaSaber","Power","bakumatsu_flower_power","Yatsuhashi Chocolate Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98015000.png"
"OkitaSaber","Power","bakumatsu_spirit_power","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Power","event_saturation_power","Okita ascension face 1","https://static.atlasacademy.io/JP/Faces/f_1027000.png"
"OkitaSaber","Power","glory_edge_power","Weak Constitution A / Zettou A","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"OkitaSaber","Power","last_spring_memory_power","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Power","late_bloom_power","Weak Constitution A / Zettou A","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"OkitaSaber","Power","makoto_power","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Power","mumyou_manifested_power","Mumyou Sandanzuki command card","https://static.atlasacademy.io/JP/Servants/Commands/102700/card_servant_np.png"
"OkitaSaber","Power","prodigy_sense_power","Mind's Eye (Fake) A","https://static.atlasacademy.io/JP/SkillIcons/skill_00402.png"
"OkitaSaber","Power","riding_e_power","Shukuchi B/B+","https://static.atlasacademy.io/JP/SkillIcons/skill_00304.png"
"OkitaSaber","Power","shinsengumi_will_power","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Power","steady_step_power","Mind's Eye (Fake) A","https://static.atlasacademy.io/JP/SkillIcons/skill_00402.png"
"OkitaSaber","Power","swift_stance_power","Shukuchi B/B+","https://static.atlasacademy.io/JP/SkillIcons/skill_00304.png"
"OkitaSaber","Power","sword_genius_power","Weak Constitution A / Zettou A","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"OkitaSaber","Power","tennen_rishin_breath_power","Mind's Eye (Fake) A","https://static.atlasacademy.io/JP/SkillIcons/skill_00402.png"
"OkitaSaber","Power","thousand_thrusts_power","Mumyou Sandanzuki command card","https://static.atlasacademy.io/JP/Servants/Commands/102700/card_servant_np.png"
"OkitaSaber","Power","to_the_end_power","Okita final ascension face","https://static.atlasacademy.io/JP/Faces/f_1027003.png"
"OkitaSaber","Relic","bond_first_unit","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Relic","dr_matsumoto_medicine","Weak Constitution A / Zettou A","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"OkitaSaber","Relic","first_unit_badge","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Relic","flower_of_imperial_capital","Yatsuhashi Chocolate Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98015000.png"
"OkitaSaber","Relic","gudaguda_poster","Okita ascension face 1","https://static.atlasacademy.io/JP/Faces/f_1027000.png"
"OkitaSaber","Relic","haori_asagi","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Relic","holy_grail_imperial_capital","Mumyou Sandanzuki command card","https://static.atlasacademy.io/JP/Servants/Commands/102700/card_servant_np.png"
"OkitaSaber","Relic","kiku_ichimonji_norimune","Mumyou Sandanzuki command card","https://static.atlasacademy.io/JP/Servants/Commands/102700/card_servant_np.png"
"OkitaSaber","Relic","makoto_banner","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Relic","menkyo_kaiden","Headband of Resolve bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93004200.png"
"OkitaSaber","Relic","sakura_petals","Yatsuhashi Chocolate Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98015000.png"
"OkitaSaber","Relic","three_color_dango","Yatsuhashi Chocolate Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98015000.png"
"SiegfriedSaber","Power","baptism_of_fafnir_power","Dragon-Slayer A/A++","https://static.atlasacademy.io/JP/SkillIcons/skill_00301.png"
"SiegfriedSaber","Power","exposed_back_power","Siegfried final ascension face","https://static.atlasacademy.io/JP/Faces/f_1008003.png"
"SiegfriedSaber","Power","linden_scar_power","Das Rheingold bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93002400.png"
"SiegfriedSaber","Power","maturing_scales_power","Dragon-Slayer A/A++","https://static.atlasacademy.io/JP/SkillIcons/skill_00301.png"
"SiegfriedSaber","Power","peerless_crown_power","Siegfried ascension face 3","https://static.atlasacademy.io/JP/Faces/f_1008002.png"
"SiegfriedSaber","Power","siegfried_np_manifested_power","Balmung command card","https://static.atlasacademy.io/JP/Servants/Commands/100800/card_servant_np.png"
"SiegfriedSaber","Power","tarnkappe_power","Disengage A","https://static.atlasacademy.io/JP/SkillIcons/skill_00608.png"
"SiegfriedSaber","Power","weight_of_expectations_power","Siegfried ascension face 3","https://static.atlasacademy.io/JP/Faces/f_1008002.png"
"SiegfriedSaber","Relic","das_rheingold","Das Rheingold bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93002400.png"
"SiegfriedSaber","Relic","dragon_heart_scale","Dragon-Slayer A/A++","https://static.atlasacademy.io/JP/SkillIcons/skill_00301.png"
"SiegfriedSaber","Relic","dragon_scale_aegis","Dragon-Slayer A/A++","https://static.atlasacademy.io/JP/SkillIcons/skill_00301.png"
"SiegfriedSaber","Relic","fafnir_heartblood","Dragon-Slayer A/A++","https://static.atlasacademy.io/JP/SkillIcons/skill_00301.png"
"SiegfriedSaber","Relic","fafnirs_bane","Balmung command card","https://static.atlasacademy.io/JP/Servants/Commands/100800/card_servant_np.png"
"SiegfriedSaber","Relic","linden_leaf","Siegfried final ascension face","https://static.atlasacademy.io/JP/Faces/f_1008003.png"
"SiegfriedSaber","Relic","rhinegold_shard","Avaricious Gold A","https://static.atlasacademy.io/JP/SkillIcons/skill_00601.png"
